x-axis,F1
Hertz,dBV
+374.0000E+00,-92.19914E+00
+374.5000E+00,-91.45194E+00
+375.0000E+00,-89.96968E+00
+375.5000E+00,-88.81839E+00
+376.0000E+00,-89.09679E+00
+376.5000E+00,-89.56863E+00
+377.0000E+00,-90.13269E+00
+377.5000E+00,-90.78709E+00
+378.0000E+00,-91.66006E+00
+378.5000E+00,-92.26219E+00
+379.0000E+00,-90.98379E+00
+379.5000E+00,-90.18632E+00
+380.0000E+00,-89.63996E+00
+380.5000E+00,-88.92316E+00
+381.0000E+00,-89.02454E+00
+381.5000E+00,-89.78877E+00
+382.0000E+00,-91.88477E+00
+382.5000E+00,-95.59590E+00
+383.0000E+00,-100.63210E+00
+383.5000E+00,-96.57930E+00
+384.0000E+00,-93.09132E+00
+384.5000E+00,-90.20812E+00
+385.0000E+00,-88.13035E+00
+385.5000E+00,-86.58061E+00
+386.0000E+00,-85.67981E+00
+386.5000E+00,-85.11939E+00
