x-axis,F1
Hertz,dBV
+46.400E+00,-99.75436E+00
+46.500E+00,-88.54088E+00
+46.600E+00,-101.59346E+00
+46.700E+00,-78.95301E+00
+46.800E+00,-81.54207E+00
+46.900E+00,-81.19974E+00
+47.000E+00,-53.28050E+00
+47.100E+00,-55.85685E+00
+47.200E+00,-83.66074E+00
+47.300E+00,-78.05120E+00
+47.400E+00,-84.75444E+00
+47.500E+00,-96.28437E+00
+47.600E+00,-87.78795E+00
+47.700E+00,-83.38136E+00
+47.800E+00,-87.31569E+00
+47.900E+00,-85.53690E+00
+48.000E+00,-53.85482E+00
+48.100E+00,-56.41573E+00
+48.200E+00,-84.28820E+00
+48.300E+00,-81.74610E+00
+48.400E+00,-85.89436E+00
+48.500E+00,-91.44245E+00
+48.600E+00,-84.10972E+00
+48.700E+00,-83.94142E+00
+48.800E+00,-85.33120E+00
+48.900E+00,-79.52948E+00
+49.000E+00,-54.35469E+00
+49.100E+00,-57.00871E+00
+49.200E+00,-82.47680E+00
+49.300E+00,-94.97467E+00
+49.400E+00,-80.63029E+00
+49.500E+00,-87.56837E+00
+49.600E+00,-87.98795E+00
+49.700E+00,-86.19709E+00
+49.800E+00,-86.06038E+00
+49.900E+00,-80.86922E+00
+50.000E+00,-56.08687E+00
+50.100E+00,-57.84633E+00
+50.200E+00,-90.02384E+00
+50.300E+00,-82.09470E+00
+50.400E+00,-84.59575E+00
+50.500E+00,-85.68941E+00
+50.600E+00,-82.39447E+00
+50.700E+00,-83.75617E+00
+50.800E+00,-98.87147E+00
+50.900E+00,-81.26827E+00
+51.000E+00,-56.04409E+00
+51.100E+00,-58.56893E+00
+51.200E+00,-77.18136E+00
+51.300E+00,-87.84951E+00
+51.400E+00,-94.53542E+00
+51.500E+00,-89.24467E+00
+51.600E+00,-82.08315E+00
+51.700E+00,-90.19466E+00
+51.800E+00,-81.42762E+00
+51.900E+00,-80.84029E+00
+52.000E+00,-56.11571E+00
+52.100E+00,-58.10089E+00
+52.200E+00,-79.67571E+00
+52.300E+00,-88.79564E+00
+52.400E+00,-82.66310E+00
+52.500E+00,-83.82819E+00
+52.600E+00,-87.89399E+00
+52.700E+00,-89.14763E+00
+52.800E+00,-90.32906E+00
+52.900E+00,-87.82890E+00
+53.000E+00,-57.03926E+00
+53.100E+00,-58.66965E+00
+53.200E+00,-81.04574E+00
+53.300E+00,-90.54313E+00
+53.400E+00,-82.91260E+00
+53.500E+00,-89.96539E+00
+53.600E+00,-85.84266E+00
+53.700E+00,-84.58432E+00
+53.800E+00,-80.79434E+00
+53.900E+00,-89.11104E+00
+54.000E+00,-57.09054E+00
+54.100E+00,-58.35661E+00
+54.200E+00,-89.64595E+00
+54.300E+00,-87.12409E+00
+54.400E+00,-84.95105E+00
+54.500E+00,-96.57966E+00
+54.600E+00,-90.46617E+00
+54.700E+00,-95.80687E+00
+54.800E+00,-85.57851E+00
+54.900E+00,-86.62079E+00
+55.000E+00,-56.66058E+00
+55.100E+00,-57.22946E+00
+55.200E+00,-79.35119E+00
+55.300E+00,-81.03176E+00
+55.400E+00,-87.00129E+00
+55.500E+00,-99.92593E+00
+55.600E+00,-86.83137E+00
+55.700E+00,-87.69071E+00
+55.800E+00,-86.96022E+00
+55.900E+00,-76.90866E+00
+56.000E+00,-57.50984E+00
+56.100E+00,-57.68597E+00
+56.200E+00,-91.58459E+00
+56.300E+00,-85.24355E+00
+56.400E+00,-84.59075E+00
+56.500E+00,-82.10128E+00
+56.600E+00,-82.10237E+00
+56.700E+00,-94.36531E+00
+56.800E+00,-84.18697E+00
+56.900E+00,-82.71366E+00
+57.000E+00,-58.04199E+00
+57.100E+00,-58.15376E+00
+57.200E+00,-85.94511E+00
+57.300E+00,-89.34512E+00
+57.400E+00,-86.81678E+00
+57.500E+00,-94.60948E+00
+57.600E+00,-105.27804E+00
+57.700E+00,-96.98670E+00
+57.800E+00,-85.04633E+00
+57.900E+00,-83.19473E+00
+58.000E+00,-58.07250E+00
+58.100E+00,-58.16866E+00
+58.200E+00,-87.98372E+00
+58.300E+00,-85.27401E+00
+58.400E+00,-83.84279E+00
+58.500E+00,-99.53503E+00
+58.600E+00,-88.41170E+00
+58.700E+00,-90.22401E+00
+58.800E+00,-93.98890E+00
+58.900E+00,-90.86251E+00
+59.000E+00,-58.57503E+00
+59.100E+00,-58.73153E+00
+59.200E+00,-82.74474E+00
+59.300E+00,-82.54473E+00
+59.400E+00,-80.39330E+00
+59.500E+00,-100.54345E+00
+59.600E+00,-85.60244E+00
+59.700E+00,-96.21983E+00
+59.800E+00,-86.76654E+00
+59.900E+00,-82.28780E+00
+60.000E+00,-59.19491E+00
+60.100E+00,-58.77480E+00
+60.200E+00,-75.94362E+00
+60.300E+00,-79.86899E+00
+60.400E+00,-86.49701E+00
+60.500E+00,-85.01666E+00
+60.600E+00,-81.64023E+00
+60.700E+00,-95.13776E+00
+60.800E+00,-84.96290E+00
+60.900E+00,-92.61255E+00
+61.000E+00,-58.55128E+00
+61.100E+00,-58.12140E+00
+61.200E+00,-82.14089E+00
+61.300E+00,-87.35997E+00
+61.400E+00,-92.69092E+00
+61.500E+00,-85.92587E+00
+61.600E+00,-87.96086E+00
+61.700E+00,-83.79514E+00
+61.800E+00,-85.43162E+00
+61.900E+00,-82.30867E+00
+62.000E+00,-59.87384E+00
+62.100E+00,-57.92883E+00
+62.200E+00,-85.95158E+00
+62.300E+00,-84.24693E+00
+62.400E+00,-90.88528E+00
+62.500E+00,-93.42017E+00
+62.600E+00,-96.05946E+00
+62.700E+00,-98.81309E+00
+62.800E+00,-84.71582E+00
+62.900E+00,-81.60103E+00
+63.000E+00,-59.51172E+00
+63.100E+00,-58.20311E+00
+63.200E+00,-85.73957E+00
+63.300E+00,-89.36135E+00
+63.400E+00,-90.33182E+00
+63.500E+00,-83.21305E+00
+63.600E+00,-86.39439E+00
+63.700E+00,-85.74769E+00
+63.800E+00,-89.08443E+00
+63.900E+00,-84.26896E+00
+64.000E+00,-60.61662E+00
+64.100E+00,-58.40839E+00
+64.200E+00,-87.85277E+00
+64.300E+00,-84.84630E+00
+64.400E+00,-98.17439E+00
+64.500E+00,-81.85804E+00
+64.600E+00,-82.57682E+00
+64.700E+00,-80.81904E+00
+64.800E+00,-81.87210E+00
+64.900E+00,-88.67259E+00
+65.000E+00,-60.68038E+00
+65.100E+00,-59.02380E+00
+65.200E+00,-97.08320E+00
+65.300E+00,-84.02141E+00
+65.400E+00,-91.78606E+00
+65.500E+00,-81.34246E+00
+65.600E+00,-103.31980E+00
+65.700E+00,-85.19048E+00
+65.800E+00,-82.65092E+00
+65.900E+00,-83.09993E+00
+66.000E+00,-60.95226E+00
+66.100E+00,-59.15974E+00
+66.200E+00,-85.72371E+00
+66.300E+00,-86.33676E+00
+66.400E+00,-81.63567E+00
+66.500E+00,-94.47335E+00
+66.600E+00,-90.95783E+00
+66.700E+00,-84.56122E+00
+66.800E+00,-79.37441E+00
+66.900E+00,-74.04419E+00
+67.000E+00,-61.58869E+00
+67.100E+00,-58.80263E+00
+67.200E+00,-90.02839E+00
+67.300E+00,-83.87680E+00
+67.400E+00,-90.26911E+00
+67.500E+00,-87.84841E+00
+67.600E+00,-84.84519E+00
+67.700E+00,-84.99403E+00
+67.800E+00,-84.95765E+00
+67.900E+00,-76.69654E+00
+68.000E+00,-62.70603E+00
+68.100E+00,-60.40891E+00
+68.200E+00,-92.12313E+00
+68.300E+00,-86.25084E+00
+68.400E+00,-83.91350E+00
+68.500E+00,-81.38998E+00
+68.600E+00,-86.30534E+00
+68.700E+00,-88.93632E+00
+68.800E+00,-84.82997E+00
+68.900E+00,-77.52147E+00
+69.000E+00,-63.89989E+00
+69.100E+00,-62.15114E+00
+69.200E+00,-82.71442E+00
+69.300E+00,-82.80079E+00
+69.400E+00,-78.01878E+00
+69.500E+00,-79.61402E+00
+69.600E+00,-89.36342E+00
+69.700E+00,-84.42382E+00
+69.800E+00,-87.51234E+00
+69.900E+00,-80.34003E+00
+70.000E+00,-65.91911E+00
+70.100E+00,-62.79932E+00
+70.200E+00,-80.07620E+00
+70.300E+00,-84.13818E+00
+70.400E+00,-83.52075E+00
+70.500E+00,-84.71113E+00
+70.600E+00,-85.77943E+00
+70.700E+00,-90.52939E+00
+70.800E+00,-83.00790E+00
+70.900E+00,-78.84949E+00
+71.000E+00,-67.74796E+00
+71.100E+00,-62.93638E+00
+71.200E+00,-82.40632E+00
+71.300E+00,-83.79467E+00
+71.400E+00,-89.09219E+00
+71.500E+00,-87.29831E+00
+71.600E+00,-94.74569E+00
+71.700E+00,-89.64489E+00
+71.800E+00,-81.81579E+00
+71.900E+00,-83.47953E+00
+72.000E+00,-66.48748E+00
+72.100E+00,-63.41453E+00
+72.200E+00,-86.91947E+00
+72.300E+00,-97.35254E+00
+72.400E+00,-83.73111E+00
+72.500E+00,-85.69175E+00
+72.600E+00,-89.33168E+00
+72.700E+00,-79.19110E+00
+72.800E+00,-85.69226E+00
+72.900E+00,-82.33985E+00
+73.000E+00,-68.10454E+00
+73.100E+00,-65.36732E+00
+73.200E+00,-83.11673E+00
+73.300E+00,-99.63566E+00
+73.400E+00,-84.76551E+00
+73.500E+00,-99.30471E+00
+73.600E+00,-83.78576E+00
+73.700E+00,-90.10538E+00
+73.800E+00,-85.78917E+00
+73.900E+00,-80.89251E+00
+74.000E+00,-71.89267E+00
+74.100E+00,-67.25502E+00
+74.200E+00,-81.94384E+00
+74.300E+00,-94.29676E+00
+74.400E+00,-80.10882E+00
+74.500E+00,-80.74774E+00
+74.600E+00,-79.60815E+00
+74.700E+00,-82.48631E+00
+74.800E+00,-88.55091E+00
+74.900E+00,-82.42745E+00
+75.000E+00,-70.33911E+00
+75.100E+00,-65.90772E+00
+75.200E+00,-87.03009E+00
+75.300E+00,-84.26236E+00
+75.400E+00,-81.03793E+00
+75.500E+00,-85.09323E+00
+75.600E+00,-93.10822E+00
+75.700E+00,-82.22731E+00
+75.800E+00,-82.27470E+00
+75.900E+00,-80.28050E+00
+76.000E+00,-68.94803E+00
+76.100E+00,-66.40577E+00
+76.200E+00,-85.16275E+00
+76.300E+00,-96.59133E+00
+76.400E+00,-103.36212E+00
+76.500E+00,-86.82420E+00
+76.600E+00,-92.21323E+00
+76.700E+00,-79.71255E+00
+76.800E+00,-84.29459E+00
+76.900E+00,-87.51873E+00
+77.000E+00,-76.82715E+00
+77.100E+00,-69.90900E+00
+77.200E+00,-81.81740E+00
+77.300E+00,-91.27400E+00
+77.400E+00,-81.81983E+00
+77.500E+00,-87.33642E+00
+77.600E+00,-86.13272E+00
+77.700E+00,-81.25157E+00
+77.800E+00,-81.66751E+00
+77.900E+00,-85.23543E+00
+78.000E+00,-72.16588E+00
+78.100E+00,-69.23114E+00
+78.200E+00,-89.32607E+00
+78.300E+00,-79.80988E+00
+78.400E+00,-82.07458E+00
+78.500E+00,-85.03407E+00
+78.600E+00,-89.85489E+00
+78.700E+00,-89.35219E+00
+78.800E+00,-87.59669E+00
+78.900E+00,-87.35487E+00
+79.000E+00,-74.64003E+00
+79.100E+00,-67.81677E+00
+79.200E+00,-78.85351E+00
+79.300E+00,-97.80907E+00
+79.400E+00,-87.12619E+00
+79.500E+00,-76.71947E+00
+79.600E+00,-78.42776E+00
+79.700E+00,-84.49811E+00
+79.800E+00,-81.02731E+00
+79.900E+00,-91.63813E+00
+80.000E+00,-77.58896E+00
+80.100E+00,-69.96560E+00
+80.200E+00,-83.56990E+00
+80.300E+00,-84.44880E+00
+80.400E+00,-80.34508E+00
+80.500E+00,-79.58010E+00
+80.600E+00,-84.77865E+00
+80.700E+00,-84.22201E+00
+80.800E+00,-82.12380E+00
+80.900E+00,-89.55286E+00
+81.000E+00,-78.08175E+00
+81.100E+00,-68.95909E+00
+81.200E+00,-84.10082E+00
+81.300E+00,-83.90902E+00
+81.400E+00,-82.46477E+00
+81.500E+00,-85.79878E+00
+81.600E+00,-78.93814E+00
+81.700E+00,-92.96075E+00
+81.800E+00,-84.72363E+00
+81.900E+00,-83.45364E+00
